"","supercoach","match_round","season","player_team","player_name"
"276",57,"1",2020,"Greater Western Sydney","Isaac Cumming"
"277",57,"1",2020,"Gold Coast","Jack Lukosius"
"278",57,"1",2020,"Port Adelaide","Justin Westhoff"
"279",57,"1",2020,"Brisbane Lions","Lincoln McCarthy"
"280",56,"1",2020,"Sydney","Harry Cunningham"
"281",56,"1",2020,"Carlton","Jack Silvagni"
"282",56,"1",2020,"Adelaide","Tyson Stengle"
"283",56,"1",2020,"Gold Coast","Darcy MacPherson"
"284",55,"1",2020,"Carlton","Sam Walsh"
"285",55,"1",2020,"Hawthorn","Tom Scully"
"286",55,"1",2020,"Hawthorn","Jonathon Patton"
"287",55,"1",2020,"Adelaide","Taylor Walker"
"288",55,"1",2020,"Adelaide","Brodie Smith"
"289",55,"1",2020,"Richmond","Tom J. Lynch"
"290",55,"1",2020,"Richmond","Sydney Stack"
"291",55,"1",2020,"Collingwood","Darcy Moore"
"292",54,"1",2020,"Melbourne","Jake Melksham"
"293",54,"1",2020,"Sydney","Colin O'Riordan"
"294",54,"1",2020,"Fremantle","Adam Cerra"
"295",54,"1",2020,"North Melbourne","Luke McDonald"
"296",54,"1",2020,"Fremantle","Sean Darcy"
"297",54,"1",2020,"Fremantle","Brennan Cox"
"298",54,"1",2020,"North Melbourne","Aaron Hall"
"299",53,"1",2020,"Hawthorn","Ricky Henderson"
"300",53,"1",2020,"Richmond","Nathan Broad"
"301",53,"1",2020,"Brisbane Lions","Cam Rayner"
"302",53,"1",2020,"Essendon","Darcy Parish"
"303",53,"1",2020,"Melbourne","Jake Lever"
"304",53,"1",2020,"North Melbourne","Nick Larkey"
"305",52,"1",2020,"Fremantle","Luke Ryan"
"306",52,"1",2020,"Brisbane Lions","Jarrod Berry"
"307",52,"1",2020,"Brisbane Lions","Dayne Zorko"
"308",52,"1",2020,"Fremantle","Ethan Hughes"
"309",52,"1",2020,"North Melbourne","Jasper Pittard"
"310",51,"1",2020,"Adelaide","Ben Davis"
"311",51,"1",2020,"Adelaide","Jake Kelly"
"312",51,"1",2020,"Fremantle","Lachie Schultz"
"313",51,"1",2020,"Fremantle","Cam McCarthy"
"314",51,"1",2020,"Melbourne","Adam Tomlinson"
"315",50,"1",2020,"Gold Coast","Jarrod Witts"
"316",50,"1",2020,"Port Adelaide","Tom Jonas"
"317",50,"1",2020,"Fremantle","Bailey Banfield"
"318",50,"1",2020,"Adelaide","Chayce Jones"
"319",50,"1",2020,"Richmond","Dylan Grimes"
"320",49,"1",2020,"Essendon","Aaron Francis"
"321",49,"1",2020,"Essendon","Brandon Zerk-Thatcher"
"322",48,"1",2020,"Western Bulldogs","Sam Lloyd"
"323",48,"1",2020,"Sydney","Lewis Taylor"
"324",47,"1",2020,"Gold Coast","Sean Lemmens"
"325",47,"1",2020,"Essendon","Orazio Fantasia"
"326",47,"1",2020,"Brisbane Lions","Deven Robertson"
"327",47,"1",2020,"Essendon","David Zaharakis"
"328",46,"1",2020,"Geelong","Esava Ratugolea"
"329",46,"1",2020,"Sydney","James Rowbottom"
"330",45,"1",2020,"Hawthorn","Harry Morrison"
"331",45,"1",2020,"Adelaide","Billy Frampton"
"332",44,"1",2020,"Western Bulldogs","Ryan Gardner"
"333",44,"1",2020,"Gold Coast","Connor Budarick"
"334",44,"1",2020,"Hawthorn","Paul Puopolo"
"335",43,"1",2020,"West Coast","Jack Petruccelle"
"336",43,"1",2020,"Sydney","Will Hayward"
"337",42,"1",2020,"Port Adelaide","Zak Butters"
"338",42,"1",2020,"St Kilda","Max King"
"339",42,"1",2020,"Gold Coast","Noah Anderson"
"340",41,"1",2020,"Greater Western Sydney","Tom Green"
"341",41,"1",2020,"Brisbane Lions","Alex Witherden"
"342",41,"1",2020,"Geelong","Jordan Clark"
"343",41,"1",2020,"Fremantle","Matt Taberner"
"344",40,"1",2020,"Richmond","Jack Graham"
"345",40,"1",2020,"Hawthorn","James Frawley"
"346",40,"1",2020,"Melbourne","Tom McDonald"
"347",40,"1",2020,"Western Bulldogs","Josh Bruce"
"348",39,"1",2020,"Melbourne","Toby Bedford"
"349",39,"1",2020,"Carlton","Nic Newman"
"350",39,"1",2020,"Greater Western Sydney","Sam Taylor"
"351",39,"1",2020,"Melbourne","Bayley Fritsch"
"352",39,"1",2020,"Brisbane Lions","Oscar McInerney"
"353",38,"1",2020,"Essendon","Jayden Laverde"
"354",38,"1",2020,"Port Adelaide","Jarrod Lienert"
"355",38,"1",2020,"St Kilda","Jack Lonie"
"356",37,"1",2020,"Collingwood","Jordan Roughead"
"357",36,"1",2020,"West Coast","Jack Redden"
"358",36,"1",2020,"Carlton","Lachie Plowman"
"359",36,"1",2020,"Gold Coast","Will Brodie"
"360",35,"1",2020,"Geelong","Sam Menegola"
"361",35,"1",2020,"St Kilda","Tim Membrey"
"362",35,"1",2020,"North Melbourne","Tom Murphy"
"363",35,"1",2020,"Melbourne","Neville Jetta"
"364",34,"1",2020,"Gold Coast","Nick Holman"
"365",33,"1",2020,"Carlton","Matthew Kreuzer"
"366",32,"1",2020,"Western Bulldogs","Ben Cavarra"
"367",32,"1",2020,"Gold Coast","Sam Day"
"368",31,"1",2020,"Fremantle","Mitchell Crowden"
"369",31,"1",2020,"Fremantle","Griffin Logue"
"370",31,"1",2020,"Gold Coast","Caleb Graham"
"371",28,"1",2020,"Brisbane Lions","Brandon Starcevich"
"372",28,"1",2020,"West Coast","Josh J. Kennedy"
"373",28,"1",2020,"Brisbane Lions","Marcus Adams"
"374",27,"1",2020,"Carlton","Paddy Dow"
"375",27,"1",2020,"Carlton","Michael Gibbons"
"376",27,"1",2020,"St Kilda","Jade Gresham"
"377",27,"1",2020,"Richmond","Toby Nankervis"
"378",26,"1",2020,"St Kilda","Dylan Roberton"
"379",26,"1",2020,"Geelong","Tom Atkins"
"380",26,"1",2020,"West Coast","Tom Hickey"
"381",24,"1",2020,"Carlton","Will Setterfield"
"382",22,"1",2020,"Greater Western Sydney","Phil Davis"
"383",22,"1",2020,"Collingwood","Jack Madgen"
"384",22,"1",2020,"Hawthorn","Ben Stratton"
"385",21,"1",2020,"Melbourne","Mitch Brown"
"386",21,"1",2020,"Geelong","Zach Guthrie"
"387",19,"1",2020,"North Melbourne","Paul Ahern"
"388",19,"1",2020,"North Melbourne","Jack Ziebell"
"389",18,"1",2020,"Western Bulldogs","Aaron Naughton"
"390",16,"1",2020,"Western Bulldogs","Bailey Dale"
"391",16,"1",2020,"Adelaide","Bryce Gibbs"
"392",16,"1",2020,"Adelaide","Fischer McAsey"
"393",9,"1",2020,"Melbourne","Charlie Spargo"
"394",7,"1",2020,"North Melbourne","Josh Walker"
"395",6,"1",2020,"Greater Western Sydney","Adam Kennedy"
"396",0,"1",2020,"Western Bulldogs","Lewis Young"
"397",184,"2",2020,"Melbourne","Max Gawn"
"398",171,"2",2020,"Brisbane Lions","Lachie Neale"
"399",171,"2",2020,"Gold Coast","Matthew Rowell"
"400",164,"2",2020,"North Melbourne","Todd Goldstein"
"401",161,"2",2020,"Adelaide","Reilly O'Brien"
"402",159,"2",2020,"Essendon","Zach Merrett"
"403",151,"2",2020,"Geelong","Joel Selwood"
"404",149,"2",2020,"Sydney","Dane Rampe"
"405",148,"2",2020,"Fremantle","Michael Walters"
"406",145,"2",2020,"Sydney","Jake Lloyd"
"407",145,"2",2020,"Port Adelaide","Connor Rozee"
"408",144,"2",2020,"Sydney","Callum Sinclair"
"409",143,"2",2020,"Fremantle","Nat Fyfe"
"410",137,"2",2020,"West Coast","Andrew Gaff"
"411",137,"2",2020,"St Kilda","Jack Steele"
"412",134,"2",2020,"Carlton","Marc Pittonet"
"413",133,"2",2020,"St Kilda","Jack Billings"
"414",131,"2",2020,"Collingwood","Taylor Adams"
"415",131,"2",2020,"Western Bulldogs","Josh Dunkley"
"416",130,"2",2020,"Geelong","Gary Ablett"
"417",127,"2",2020,"St Kilda","Zak Jones"
"418",127,"2",2020,"Port Adelaide","Todd Marshall"
"419",127,"2",2020,"Melbourne","Clayton Oliver"
"420",127,"2",2020,"Port Adelaide","Brad Ebert"
"421",126,"2",2020,"Collingwood","Jeremy Howe"
"422",126,"2",2020,"Collingwood","Josh Daicos"
"423",126,"2",2020,"Melbourne","Christian Petracca"
"424",126,"2",2020,"Western Bulldogs","Bailey Smith"
"425",123,"2",2020,"Fremantle","Luke Ryan"
"426",123,"2",2020,"Gold Coast","Sam Day"
"427",122,"2",2020,"Geelong","Rhys Stanley"
"428",120,"2",2020,"St Kilda","Jade Gresham"
"429",120,"2",2020,"North Melbourne","Jared Polec"
"430",119,"2",2020,"Port Adelaide","Zak Butters"
"431",119,"2",2020,"Geelong","Tom Stewart"
"432",119,"2",2020,"Geelong","Sam Menegola"
"433",118,"2",2020,"Brisbane Lions","Charlie Cameron"
"434",117,"2",2020,"Carlton","Patrick Cripps"
"435",117,"2",2020,"North Melbourne","Shaun Higgins"
"436",117,"2",2020,"Port Adelaide","Scott Lycett"
"437",116,"2",2020,"Port Adelaide","Steven Motlop"
"438",116,"2",2020,"West Coast","Luke Shuey"
"439",116,"2",2020,"North Melbourne","Cameron Zurhaar"
"440",115,"2",2020,"Collingwood","Scott Pendlebury"
"441",115,"2",2020,"St Kilda","Dan Butler"
"442",115,"2",2020,"Collingwood","Brodie Grundy"
"443",114,"2",2020,"Geelong","Brandan Parfitt"
"444",114,"2",2020,"Geelong","Mitch Duncan"
"445",113,"2",2020,"Richmond","Tom J. Lynch"
"446",112,"2",2020,"Port Adelaide","Travis Boak"
"447",111,"2",2020,"Richmond","Bachar Houli"
"448",111,"2",2020,"Greater Western Sydney","Stephen Coniglio"
"449",111,"2",2020,"St Kilda","Sebastian Ross"
"450",110,"2",2020,"West Coast","Elliot Yeo"
"451",109,"2",2020,"Port Adelaide","Xavier Duursma"
"452",109,"2",2020,"Sydney","Luke Parker"
