"","season","match_date","match_round","player_team","bookmaker_prob_win"
"379",2017,"2017-08-26",23,"Carlton",0.1
"380",2017,"2017-08-26",23,"North Melbourne",0.33
"381",2017,"2017-08-26",23,"Brisbane Lions",0.67
"382",2017,"2017-08-26",23,"Port Adelaide",0.9
"383",2017,"2017-08-26",23,"Gold Coast",0.1
"384",2017,"2017-08-26",23,"Collingwood",0.29
"385",2017,"2017-08-26",23,"Melbourne",0.71
"386",2017,"2017-08-25",23,"Hawthorn",0.5
"387",2017,"2017-08-25",23,"Western Bulldogs",0.5
"388",2017,"2017-08-26",23,"Geelong",0.42
"389",2017,"2017-08-26",23,"Greater Western Sydney",0.58
"390",2017,"2017-08-27",23,"Richmond",0.62
"391",2017,"2017-08-27",23,"St Kilda",0.38
"392",2017,"2017-08-27",23,"Essendon",0.86
"393",2017,"2017-08-27",23,"Fremantle",0.14
"394",2017,"2017-07-01",15,"Geelong",0.33
"395",2017,"2017-07-01",15,"Greater Western Sydney",0.67
"396",2017,"2017-07-08",16,"Greater Western Sydney",0.61
"397",2017,"2017-07-08",16,"Hawthorn",0.39
"398",2017,"2017-07-30",19,"Collingwood",0.34
"399",2017,"2017-07-30",19,"Adelaide",0.66
"400",2018,"2018-03-22",1,"Richmond",0.8
"401",2018,"2018-03-22",1,"Carlton",0.2
"402",2018,"2018-03-23",1,"Essendon",0.52
"403",2018,"2018-03-23",1,"Adelaide",0.48
"404",2018,"2018-03-24",1,"St Kilda",0.72
"405",2018,"2018-03-24",1,"Brisbane Lions",0.28
"406",2018,"2018-03-24",1,"Port Adelaide",0.79
"407",2018,"2018-03-24",1,"Fremantle",0.21
"408",2018,"2018-03-24",1,"Gold Coast",0.49
"409",2018,"2018-03-24",1,"North Melbourne",0.51
"410",2018,"2018-03-24",1,"Hawthorn",0.54
"411",2018,"2018-03-24",1,"Collingwood",0.46
"412",2018,"2018-03-25",1,"Greater Western Sydney",0.72
"413",2018,"2018-03-25",1,"Western Bulldogs",0.28
"414",2018,"2018-03-25",1,"Geelong",0.44
"415",2018,"2018-03-25",1,"Melbourne",0.56
"416",2018,"2018-03-25",1,"Sydney",0.7
"417",2018,"2018-03-25",1,"West Coast",0.3
"418",2018,"2018-03-29",2,"Adelaide",0.55
"419",2018,"2018-03-29",2,"Richmond",0.45
"420",2018,"2018-03-30",2,"North Melbourne",0.29
"421",2018,"2018-03-30",2,"St Kilda",0.71
"422",2018,"2018-03-31",2,"Gold Coast",0.38
"423",2018,"2018-03-31",2,"Carlton",0.62
"424",2018,"2018-03-31",2,"Greater Western Sydney",0.68
"425",2018,"2018-03-31",2,"Collingwood",0.32
"426",2018,"2018-03-31",2,"Melbourne",0.72
"427",2018,"2018-03-31",2,"Brisbane Lions",0.28
"428",2018,"2018-03-31",2,"Fremantle",0.4
"429",2018,"2018-03-31",2,"Essendon",0.6
"430",2018,"2018-04-01",2,"West Coast",0.45
"431",2018,"2018-04-01",2,"Western Bulldogs",0.55
"432",2018,"2018-04-01",2,"Port Adelaide",0.34
"433",2018,"2018-04-01",2,"Sydney",0.66
"434",2018,"2018-04-02",2,"Hawthorn",0.43
