"","web_scraped_team","aflfant","match_round","season","player_team","player_name"
"256","Blues",46,"1",2020,"Carlton","Jack Newnes"
"257","Magpies",46,"1",2020,"Collingwood","Tyler Brown"
"258","Hawks",45,"1",2020,"Hawthorn","Ben McEvoy"
"259","Blues",45,"1",2020,"Carlton","Mitch McGovern"
"260","Suns",45,"1",2020,"Gold Coast","Will Brodie"
"261","Bombers",45,"1",2020,"Essendon","Aaron Francis"
"262","Suns",45,"1",2020,"Gold Coast","Sean Lemmens"
"263","Power",45,"1",2020,"Port Adelaide","Zak Butters"
"264","Dockers",45,"1",2020,"Fremantle","Lachie Schultz"
"265","Dockers",45,"1",2020,"Fremantle","Cam McCarthy"
"266","Swans",45,"1",2020,"Sydney","James Rowbottom"
"267","Suns",45,"1",2020,"Gold Coast","Darcy MacPherson"
"268","Kangaroos",44,"1",2020,"North Melbourne","Jasper Pittard"
"269","Magpies",44,"1",2020,"Collingwood","Darcy Moore"
"270","Kangaroos",44,"1",2020,"North Melbourne","Cameron Zurhaar"
"271","Demons",44,"1",2020,"Melbourne","Tom McDonald"
"272","Eagles",44,"1",2020,"West Coast","Jack Darling"
"273","Cats",44,"1",2020,"Geelong","Darcy Fort"
"274","Dockers",44,"1",2020,"Fremantle","Andrew Brayshaw"
"275","Demons",44,"1",2020,"Melbourne","Kysaiah Pickett"
"276","Cats",44,"1",2020,"Geelong","Quinton Narkle"
"277","Cats",44,"1",2020,"Geelong","Gryan Miers"
"278","Power",43,"1",2020,"Port Adelaide","Jarrod Lienert"
"279","Cats",43,"1",2020,"Geelong","Gary Rohan"
"280","Swans",43,"1",2020,"Sydney","Aliir Aliir"
"281","Swans",43,"1",2020,"Sydney","Ben Ronke"
"282","Dockers",43,"1",2020,"Fremantle","James Aish"
"283","Dockers",43,"1",2020,"Fremantle","Adam Cerra"
"284","Hawks",42,"1",2020,"Hawthorn","Harry Morrison"
"285","Demons",42,"1",2020,"Melbourne","Bayley Fritsch"
"286","Saints",42,"1",2020,"St Kilda","Bradley Hill"
"287","Magpies",42,"1",2020,"Collingwood","Josh Thomas"
"288","Demons",42,"1",2020,"Melbourne","Jay Lockhart"
"289","Kangaroos",42,"1",2020,"North Melbourne","Aaron Hall"
"290","Crows",42,"1",2020,"Adelaide","Taylor Walker"
"291","Crows",41,"1",2020,"Adelaide","Billy Frampton"
"292","Demons",41,"1",2020,"Melbourne","Steven May"
"293","Crows",41,"1",2020,"Adelaide","Daniel Talia"
"294","Crows",41,"1",2020,"Adelaide","Luke Brown"
"295","Dockers",40,"1",2020,"Fremantle","Matt Taberner"
"296","Bulldogs",40,"1",2020,"Western Bulldogs","Mitch Wallis"
"297","Cats",40,"1",2020,"Geelong","Patrick Dangerfield"
